inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,atr,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
E1920,E1921,E1922,E1923,r4,E1924,E1925,E1926,E1927,r4,r4,E1928,E1929,E1930,E1931,r4,E1932,E1933,E1934,E1935,E1936,r4,E1937,r4,E1938,E1939,E1940,E1941,E1942,E1943,E1944,E1945,E1946,E1947,E1948,E1949,E1950,E1951,E1952,E1953,E1954,E1955,E1956,E1957,E1958
E1959,E1960,E1961,s66,E1962,E1963,E1964,E1965,E1966,E1967,E1968,E1969,E1970,E1971,E1972,E1973,E1974,E1975,E1976,E1977,E1978,E1979,E1980,E1981,E1982,E1983,E1984,E1985,E1986,E1987,E1988,E1989,E1990,E1991,E1992,E1993,E1994,E1995,E1996,E1997,E1998,E1999,E2000,E2001,E2002
E2003,E2004,E2005,r7,E2006,s67,E2007,E2008,E2009,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017,E2018,E2019,E2020,E2021,E2022,E2023,E2024,E2025,E2026,E2027,E2028,E2029,E2030,E2031,E2032,E2033,E2034,E2035,E2036,E2037,E2038,E2039,E2040,E2041,E2042,E2043,E2044,E2045
E2046,E2047,E2048,E2049,r12,E2050,E2051,E2052,E2053,r12,r12,E2054,E2055,E2056,E2057,r12,E2058,E2059,E2060,E2061,r12,r12,r12,r12,E2062,E2063,E2064,E2065,E2066,E2067,E2068,E2069,E2070,E2071,E2072,E2073,E2074,E2075,E2076,E2077,E2078,E2079,E2080,E2081,E2082
E2083,E2084,E2085,E2086,r13,E2087,E2088,E2089,E2090,r13,r13,E2091,E2092,E2093,E2094,r13,E2095,E2096,E2097,E2098,r13,r13,r13,r13,E2099,E2100,E2101,E2102,E2103,E2104,E2105,E2106,E2107,E2108,E2109,E2110,E2111,E2112,E2113,E2114,E2115,E2116,E2117,E2118,E2119
E2120,E2121,E2122,s68,E2123,E2124,E2125,E2126,E2127,E2128,E2129,E2130,E2131,E2132,E2133,E2134,E2135,E2136,E2137,E2138,E2139,E2140,E2141,E2142,E2143,E2144,E2145,E2146,E2147,E2148,E2149,E2150,E2151,E2152,E2153,E2154,E2155,E2156,E2157,E2158,E2159,E2160,E2161,E2162,E2163
E2164,E2165,E2166,r20,E2167,E2168,E2169,E2170,E2171,E2172,E2173,E2174,E2175,E2176,s69,E2177,E2178,E2179,E2180,E2181,E2182,E2183,E2184,E2185,E2186,E2187,E2188,E2189,E2190,E2191,E2192,E2193,E2194,E2195,E2196,E2197,E2198,E2199,E2200,E2201,E2202,E2203,E2204,E2205,E2206
E2207,E2208,E2209,r21,E2210,E2211,E2212,E2213,E2214,E2215,E2216,E2217,E2218,E2219,r21,E2220,E2221,r21,E2222,r21,E2223,E2224,E2225,E2226,E2227,E2228,E2229,E2230,E2231,E2232,E2233,E2234,E2235,E2236,E2237,E2238,E2239,E2240,E2241,E2242,E2243,E2244,E2245,E2246,E2247
E2248,E2249,E2250,r22,E2251,E2252,E2253,E2254,E2255,E2256,E2257,E2258,E2259,E2260,r22,E2261,E2262,r22,E2263,r22,E2264,E2265,E2266,E2267,E2268,E2269,E2270,E2271,E2272,E2273,E2274,E2275,E2276,E2277,E2278,E2279,E2280,E2281,E2282,E2283,E2284,E2285,E2286,E2287,E2288
E2289,E2290,E2291,E2292,r27,E2293,E2294,E2295,E2296,r27,r27,E2297,E2298,E2299,E2300,r27,E2301,E2302,E2303,E2304,r27,r27,r27,r27,E2305,E2306,E2307,E2308,E2309,E2310,E2311,E2312,E2313,E2314,E2315,E2316,E2317,E2318,E2319,E2320,E2321,E2322,E2323,E2324,E2325
E2326,E2327,E2328,E2329,r28,E2330,E2331,E2332,E2333,r28,r28,E2334,E2335,E2336,E2337,r28,E2338,E2339,E2340,E2341,r28,r28,r28,r28,E2342,E2343,E2344,E2345,E2346,E2347,E2348,E2349,E2350,E2351,E2352,E2353,E2354,E2355,E2356,E2357,E2358,E2359,E2360,E2361,E2362
E2363,E2364,E2365,E2366,r29,E2367,E2368,E2369,E2370,r29,r29,E2371,E2372,E2373,E2374,r29,E2375,E2376,E2377,E2378,r29,r29,r29,r29,E2379,E2380,E2381,E2382,E2383,E2384,E2385,E2386,E2387,E2388,E2389,E2390,E2391,E2392,E2393,E2394,E2395,E2396,E2397,E2398,E2399
E2400,E2401,E2402,E2403,r34,E2404,E2405,E2406,E2407,r34,r34,E2408,E2409,E2410,E2411,r34,E2412,E2413,E2414,E2415,E2416,r34,E2417,r34,E2418,E2419,E2420,E2421,E2422,E2423,E2424,E2425,E2426,E2427,E2428,E2429,E2430,E2431,E2432,E2433,E2434,E2435,E2436,E2437,E2438
E2439,E2440,E2441,E2442,r35,E2443,E2444,E2445,E2446,r35,r35,E2447,E2448,E2449,E2450,r35,E2451,E2452,E2453,E2454,E2455,r35,E2456,r35,E2457,E2458,E2459,E2460,E2461,E2462,E2463,E2464,E2465,E2466,E2467,E2468,E2469,E2470,E2471,E2472,E2473,E2474,E2475,E2476,E2477
E2478,E2479,E2480,E2481,r36,E2482,E2483,E2484,E2485,r36,r36,E2486,E2487,E2488,E2489,r36,E2490,E2491,E2492,E2493,E2494,r36,E2495,r36,E2496,E2497,E2498,E2499,E2500,E2501,E2502,E2503,E2504,E2505,E2506,E2507,E2508,E2509,E2510,E2511,E2512,E2513,E2514,E2515,E2516
E2517,E2518,E2519,E2520,E2521,E2522,E2523,E2524,E2525,E2526,E2527,E2528,E2529,E2530,E2531,E2532,E2533,s70,E2534,E2535,E2536,E2537,E2538,E2539,E2540,E2541,E2542,E2543,E2544,E2545,E2546,E2547,E2548,E2549,E2550,E2551,E2552,E2553,E2554,E2555,E2556,E2557,E2558,E2559,E2560
E2561,E2562,E2563,E2564,E2565,E2566,E2567,E2568,E2569,E2570,E2571,E2572,E2573,E2574,E2575,E2576,E2577,E2578,E2579,s71,E2580,E2581,E2582,E2583,E2584,E2585,E2586,E2587,E2588,E2589,E2590,E2591,E2592,E2593,E2594,E2595,E2596,E2597,E2598,E2599,E2600,E2601,E2602,E2603,E2604
E2605,E2606,E2607,E2608,E2609,E2610,E2611,E2612,E2613,E2614,E2615,E2616,E2617,E2618,E2619,E2620,E2621,s72,E2622,E2623,E2624,E2625,E2626,E2627,E2628,E2629,E2630,E2631,E2632,E2633,E2634,E2635,E2636,E2637,E2638,E2639,E2640,E2641,E2642,E2643,E2644,E2645,E2646,E2647,E2648
E2649,E2650,r5,E2651,E2652,E2653,r5,r5,r5,E2654,E2655,E2656,E2657,E2658,E2659,E2660,E2661,E2662,E2663,E2664,E2665,E2666,E2667,E2668,E2669,E2670,E2671,E2672,E2673,E2674,E2675,E2676,E2677,E2678,E2679,E2680,E2681,E2682,E2683,E2684,E2685,E2686,E2687,E2688,E2689
E2690,E2691,E2692,E2693,s50,E2694,E2695,E2696,E2697,E2698,E2699,E2700,E2701,E2702,E2703,E2704,E2705,E2706,E2707,E2708,E2709,E2710,E2711,E2712,E2713,E2714,E2715,E2716,E2717,E2718,73,E2719,E2720,E2721,E2722,E2723,E2724,E2725,E2726,E2727,E2728,E2729,E2730,E2731,E2732
E2733,E2734,E2735,E2736,r18,E2737,E2738,E2739,E2740,r18,r18,E2741,E2742,E2743,E2744,r18,E2745,E2746,E2747,E2748,r18,r18,r18,r18,E2749,E2750,E2751,E2752,E2753,E2754,E2755,E2756,E2757,E2758,E2759,E2760,E2761,E2762,E2763,E2764,E2765,E2766,E2767,E2768,E2769
E2770,E2771,E2772,E2773,s55,E2774,E2775,E2776,E2777,E2778,E2779,E2780,s56,E2781,E2782,E2783,E2784,E2785,E2786,E2787,E2788,E2789,E2790,E2791,E2792,E2793,E2794,E2795,E2796,E2797,E2798,E2799,E2800,E2801,E2802,E2803,E2804,74,E2805,E2806,E2807,E2808,E2809,E2810,E2811
E2812,E2813,E2814,E2815,E2816,E2817,E2818,E2819,E2820,E2821,E2822,E2823,E2824,E2825,E2826,E2827,E2828,E2829,s75,E2830,E2831,E2832,E2833,E2834,E2835,E2836,E2837,E2838,E2839,E2840,E2841,E2842,E2843,E2844,E2845,E2846,E2847,E2848,E2849,E2850,E2851,E2852,E2853,E2854,E2855
E2856,E2857,E2858,E2859,s55,E2860,E2861,E2862,E2863,E2864,E2865,E2866,s56,E2867,E2868,E2869,E2870,E2871,E2872,E2873,E2874,E2875,E2876,E2877,E2878,E2879,E2880,E2881,E2882,E2883,E2884,E2885,E2886,E2887,E2888,E2889,E2890,76,E2891,E2892,E2893,E2894,E2895,E2896,E2897
E2898,E2899,E2900,E2901,r33,E2902,E2903,E2904,E2905,r33,r33,E2906,E2907,E2908,E2909,r33,E2910,E2911,E2912,E2913,E2914,E2915,r33,E2916,E2917,E2918,E2919,E2920,E2921,E2922,E2923,E2924,E2925,E2926,E2927,E2928,E2929,E2930,E2931,E2932,E2933,E2934,E2935,E2936,E2937
E2938,E2939,E2940,r6,E2941,E2942,E2943,E2944,E2945,E2946,E2947,E2948,E2949,E2950,E2951,E2952,E2953,E2954,E2955,E2956,E2957,E2958,E2959,E2960,E2961,E2962,E2963,E2964,E2965,E2966,E2967,E2968,E2969,E2970,E2971,E2972,E2973,E2974,E2975,E2976,E2977,E2978,E2979,E2980,E2981
E2982,E2983,E2984,r19,E2985,E2986,E2987,E2988,E2989,E2990,E2991,E2992,E2993,E2994,E2995,E2996,E2997,E2998,E2999,E3000,E3001,E3002,E3003,E3004,E3005,E3006,E3007,E3008,E3009,E3010,E3011,E3012,E3013,E3014,E3015,E3016,E3017,E3018,E3019,E3020,E3021,E3022,E3023,E3024,E3025
E3026,E3027,E3028,E3029,r25,E3030,E3031,E3032,E3033,r25,r25,E3034,E3035,E3036,E3037,r25,E3038,E3039,E3040,E3041,r25,E3042,E3043,E3044,E3045,E3046,E3047,E3048,E3049,E3050,E3051,E3052,E3053,E3054,E3055,E3056,E3057,E3058,E3059,E3060,E3061,E3062,E3063,E3064,E3065
E3066,E3067,E3068,E3069,E3070,E3071,E3072,E3073,E3074,E3075,E3076,E3077,E3078,E3079,E3080,E3081,E3082,r26,E3083,E3084,E3085,E3086,E3087,E3088,E3089,E3090,E3091,E3092,E3093,E3094,E3095,E3096,E3097,E3098,E3099,E3100,E3101,E3102,E3103,E3104,E3105,E3106,E3107,E3108,E3109
